accession	strain	collection_date	country	host
NZ_CP010206	M11	2014	unknown	mouse
NZ_CP010206	M11	2014	unknown	mouse
NZ_CP010206	M11	2014	unknown	mouse
NZ_CP010219	M18	2014	unknown	mouse
NZ_CP010219	M18	2014	unknown	mouse
NZ_CP010221	M19	2014	unknown	mouse
NZ_CP010221	M19	2014	unknown	mouse
NZ_CP010221	M19	2014	unknown	mouse
NZ_CP010221	M19	2014	unknown	mouse
NZ_CP010221	M19	2014	unknown	mouse
NZ_CP010226	S1	2014	unknown	unknown
NZ_CP010226	S1	2014	unknown	unknown
NZ_CP010238	S50	2014	unknown	unknown
NZ_CP010238	S50	2014	unknown	unknown
NZ_CP010240	C7	2014	unknown	cow
NZ_CP010240	C7	2014	unknown	cow
NZ_CP010242	S56	2014	unknown	unknown
NZ_CP010242	S56	2014	unknown	unknown
NZ_CP010242	S56	2014	unknown	unknown
NZ_CP010242	S56	2014	unknown	unknown
NZ_CP018801	tolC-	1980	Germany	unknown
NZ_CP017631	SLK172	2015	China	Homo sapiens
NZ_CP017631	SLK172	2015	China	Homo sapiens
NZ_CP017631	SLK172	2015	China	Homo sapiens
NZ_CP018770	2016C-3936C1	unknown	USA	Homo sapiens
NZ_CP018770	2016C-3936C1	unknown	USA	Homo sapiens
NZ_CP018770	2016C-3936C1	unknown	USA	Homo sapiens
NZ_CP018770	2016C-3936C1	unknown	USA	Homo sapiens
NZ_CP018770	2016C-3936C1	unknown	USA	Homo sapiens
NZ_CP018770	2016C-3936C1	unknown	USA	Homo sapiens
NZ_CP019629	MGY	2014	Israel	unknown
NZ_CP019778	NCTC86	1885	Germany	Homo sapiens
NZ_CP019903	MDR_56	2015	USA	Homo sapiens
NZ_CP019903	MDR_56	2015	USA	Homo sapiens
NZ_CP019903	MDR_56	2015	USA	Homo sapiens
NZ_CP019903	MDR_56	2015	USA	Homo sapiens
NZ_CP019903	MDR_56	2015	USA	Homo sapiens
NZ_CP019903	MDR_56	2015	USA	Homo sapiens
NZ_CP019903	MDR_56	2015	USA	Homo sapiens
NZ_CP019903	MDR_56	2015	USA	Homo sapiens
NZ_CP018953	Ecol_276	2010	USA	Homo sapiens
NZ_CP018953	Ecol_276	2010	USA	Homo sapiens
NZ_CP018953	Ecol_276	2010	USA	Homo sapiens
NZ_CP018953	Ecol_276	2010	USA	Homo sapiens
NZ_CP018953	Ecol_276	2010	USA	Homo sapiens
